Asset name,Asset URL,Deprecated,Purchased Date,Last updated,Version
"Orbital Base Environment (Sci-Fi Space)","https://assetstore.unity.com/packages/slug/330726","","2025-12-06","2025-08-28","1.0"
"Bio Horror / Sci-fi Environment","https://assetstore.unity.com/packages/slug/248164","","2025-12-06","2023-11-27","1.0"
"Asian Dynasty Environment","https://assetstore.unity.com/packages/slug/267161","","2025-12-06","2023-11-28","2.0"
"Hyper Casual FX Pack Vol.1","https://assetstore.unity.com/packages/slug/231405","","2025-08-10","2025-05-01","1.4"
"Master Stylized FX","https://assetstore.unity.com/packages/slug/272584","","2025-08-10","2024-12-06","1.3"
"Auto-Battle Framework","https://assetstore.unity.com/packages/slug/232883","","2025-08-10","2026-02-09","1.4.2"
"Low Poly Animated Fantasy Creatures","https://assetstore.unity.com/packages/slug/292803","","2025-08-10","2025-11-19","2.05"
"Build for iOS/macOS on Windows","https://assetstore.unity.com/packages/slug/15522","","2025-07-22","2025-05-13","3.81"
"Human Basic Motions","https://assetstore.unity.com/packages/slug/157744","","2025-07-16","2026-04-30","2.5.1"
"Modular Game UI Kit","https://assetstore.unity.com/packages/slug/257894","","2025-07-16","2025-01-24","1.0.6"
"Easy ML Kit - Mobile (for iOS & Android) - Barcode Scanner, OCR, Digital Ink","https://assetstore.unity.com/packages/slug/220512","","2025-07-09","2026-05-21","2.4.2"
"TopDown Engine","https://assetstore.unity.com/packages/slug/89636","","2025-07-06","2026-01-14","4.5"
"PUN 2 - FREE","https://assetstore.unity.com/packages/slug/119922","","2022-02-07","2026-07-03","2.55"
"Top-Down Caves","https://assetstore.unity.com/packages/slug/39124","","2022-01-08","2015-06-12","1.0"
"Top-Down Assets","https://assetstore.unity.com/packages/slug/5806","","2022-01-08","2020-10-08","1.2"
"Top-Down Sci-Fi","https://assetstore.unity.com/packages/slug/18938","","2022-01-08","2018-02-02","1.2"
"Top-Down Dungeons","https://assetstore.unity.com/packages/slug/7853","","2022-01-08","2018-02-03","1.3"
"Top-Down City","https://assetstore.unity.com/packages/slug/13757","","2022-01-08","2018-02-03","1.3"
"Top-Down Interiors","https://assetstore.unity.com/packages/slug/18139","","2022-01-08","2018-02-02","1.2"
"Cartoon Town and Farm","https://assetstore.unity.com/packages/slug/17254","","2022-01-08","2018-02-01","1.2"
"Top-Down Desert","https://assetstore.unity.com/packages/slug/44757","","2022-01-08","2019-01-17","1.2"
"Top-Down Graveyard","https://assetstore.unity.com/packages/slug/25356","","2022-01-08","2018-02-02","1.2"
"Tower Defense and MOBA","https://assetstore.unity.com/packages/slug/28234","","2022-01-08","2019-03-21","1.3"
"Motion Matching for Unity","https://assetstore.unity.com/packages/slug/145624","","2021-10-29","2025-03-16","2.3.2"
"Asset Hunter PRO","https://assetstore.unity.com/packages/slug/135296","","2021-10-29","2025-12-06","2.2.26"
"SALSA LipSync Suite","https://assetstore.unity.com/packages/slug/148442","","2021-10-29","2025-01-26","2.5.6"
"MudBun: Volumetric VFX & Modeling","https://assetstore.unity.com/packages/slug/177891","","2021-10-29","2025-02-16","1.6.52"
"Performance Tools","https://assetstore.unity.com/packages/slug/80534","","2021-10-29","2025-10-26","4.0.1"
"Realistic Eye Movements","https://assetstore.unity.com/packages/slug/29168","","2021-10-29","2026-03-16","2.1.14"
"Space Graphics Toolkit","https://assetstore.unity.com/packages/slug/4160","","2021-10-29","2025-07-23","4.2.14"
"Digger PRO – Voxel Terrain Sculpting","https://assetstore.unity.com/packages/slug/149753","","2021-10-29","2026-03-29","8.1"
"Mesh Slicer","https://assetstore.unity.com/packages/slug/59618","","2021-10-29","2025-02-02","3.0.5"
"Terrain Grid System","https://assetstore.unity.com/packages/slug/47215","","2021-10-29","2022-07-25","13.9.1.1"
"Forever - Endless Runner Engine","https://assetstore.unity.com/packages/slug/140926","","2021-10-29","2024-11-10","1.17"
"Easy Decal","https://assetstore.unity.com/packages/slug/22867","","2021-10-29","2023-10-15","2021.4.1"
"MonKey - Productivity Commands","https://assetstore.unity.com/packages/slug/119938","","2021-10-29","2026-07-03","1.3.2"
"EnhancedScroller","https://assetstore.unity.com/packages/slug/36378","","2021-10-29","2025-07-10","2.40.2"
"Better UI","https://assetstore.unity.com/packages/slug/79031","","2021-10-29","2026-01-03","3.2"
"Vault Inventory","https://assetstore.unity.com/packages/slug/93933","","2021-10-29","2026-05-25","6.4"
"CUBE - Sci Fi Interiors Pack","https://assetstore.unity.com/packages/slug/134181","","2021-08-02","2020-06-07","1.1"
"Multistory Dungeons","https://assetstore.unity.com/packages/slug/33955","","2021-08-02","2024-01-05","1.8.1"
